ID,Block,Chapter / Subtopic,Question Type,Question Text,Data / Paragraph,Option A,Option B,Option C,Option D,Option E,Correct Answer,Difficulty Level
Q001,VARC,GRAMMAR,Error Spotting,The King was embarrassed (A)/ to find evidences (B)/ against his own queen. (C)/ No error(D),,The King was embarrassed,to find evidences,against his own queen,No error,,B,Very Easy
Q002,VARC,GRAMMAR,Error Spotting,He waved us a good bye (A)/ as he boarded the train (B)/ which disappeared into the tunnel. (C)/ No error (D),,He waved us a good bye,as he boarded the train,which disappeared into the tunnel,No error,,A,Very Easy
Q003,VARC,GRAMMAR,Error Spotting,A small parcel (A)/ of novels are (B)/ better than none. (C)/ NO error (D),,A small parcel,of novels are,better than none,NO error,,B,Very Easy
Q004,VARC,GRAMMAR,Error Spotting,At the request of the Defence Attorney (A)/the Jury was called (B)/and their individual verdicts were recorded. (C)/No error (D),,At the request of the Defence Attorney,the Jury was called,and their individual verdicts were recorded,No error,,B,Very Easy
Q005,VARC,GRAMMAR,Error Spotting,My brother goes (A)/ to the office (B)/ five-day week. (C)/ No error (D),,My brother goes,to the office,five-day week,No error,,C,Very Easy
Q006,VARC,GRAMMAR,Error Spotting,Slow and steady (A)/ wins the race (B)/ as the wise would say. (C)/ No error (D),,Slow and steady,wins the race,as the wise would say,No error,,D,Very Easy
Q007,VARC,GRAMMAR,Error Spotting,We often hear people say (A)/ that most human beings have not evolved (B)/or grow up enough to stick to truth or non-violence.(C)/ No error (D),,We often hear people say,that most human beings have not evolved,or grow up enough to stick to truth or non-violence,No error,,C,Very Easy
Q008,VARC,GRAMMAR,Error Spotting,A time slot of fifteen minutes(A)/ are allowed(B)/ to each speaker.(C)/ No error (D),,A time slot of fifteen minutes,are allowed,to each speaker,No error,,B,Very Easy
Q009,VARC,GRAMMAR,Fill in the Blanks,Only one of the boys _____ not done the homework given yesterday.,,have,has,can,could,,B,Easy
Q010,VARC,GRAMMAR,Fill in the Blanks,His wife has a twin who resembles her so much that at first he had great trouble telling _____.,,one from the other,one from another,each other,who is which,,A,Easy
Q011,VARC,GRAMMAR,Fill in the Blanks,He _____ wants to succeed in life must be prepared to work hard.,,whoever,whom,which,what,,A,Easy
Q012,VARC,GRAMMAR,Fill in the Blanks,"Vinod, two of ___ brothers attend primary school, wishes to be a school teacher after his graduation from the University.",,whom,them,whose,which,,C,Easy
Q013,VARC,GRAMMAR,Fill in the Blanks,"Our new digital photo-print machine, the manual _____ is lost awaits to be set up properly.",,of what,where,by whom,of which,,D,Easy
Q014,VARC,GRAMMAR,Fill in the Blanks,I have never seen _____ animal before.,,any larger,as large,such a large,so large,,C,Easy
Q015,VARC,GRAMMAR,Fill in the Blanks,As soon as we arrived in the dormitory we _____ our pullovers.,,hang,hanged,hung,hungs,,C,Easy
Q016,VARC,GRAMMAR,Fill in the Blanks,Remember _____ your temper even when provoked.,,not to loose,not to lose,not losing,not to loss,,B,Easy
Q017,VARC,GRAMMAR,Fill in the Blanks,Difficulty after difficulty _____ in his way to success.,,arose,rose,roused,raise,,A,Easy
Q018,VARC,GRAMMAR,Fill in the Blanks,_____ our freedom is in danger.,,Arise,Rise,Raise,Arose,,A,Easy
Q019,VARC,GRAMMAR,Fill in the Blanks,One is _____ in duty to help the ageing parents.,,bound,bounded,binding,binded,,A,Easy
Q020,VARC,GRAMMAR,Error Spotting,Find the error in the sentence: Many a man want to be rich quickly.,,want to be,many a man,rich quickly,No error,,A,Moderate
Q021,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: We have **no less than** a thousand students in our College,,We have not less than a thousand students...,We have no less than thousand students...,We have no fewer than a thousand students...,No improvement,,C,Moderate
Q022,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: **Many a man** would welcome the opportunity.,,Many man,A many man,Many a men,No improvement,,D,Moderate
Q023,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: **English** opens the window upon the world's knowledge.,,The English,The English language,The English land,No improvement,,B,Moderate
Q024,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: What **you have been doing** in the workshop since last month?,,have you done,you have done,have you been doing,No improvement,,C,Moderate
Q025,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: You are asked to copy this letter **word by word**.,,word for word,word with word,word to word,No improvement,,A,Moderate
Q026,VARC,GRAMMAR,Sentence Improvement,"Improve the bold part: **Riding upon his horse, the tiger jumped at him.**",,"Riding upon the tiger, the horse jumped at him.",The tiger jumped at him while he was riding upon his horse.,The tiger rode at him while he was jumping upon his horse.,No improvement,,B,Moderate
Q027,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: I did not see him **since he wrote last.**,,I could not see him,I shall not see him,I have not seen him,No improvement,,C,Moderate
Q028,VARC,GRAMMAR,Sentence Improvement,"Improve the bold part: **If I hadn’t seen the car coming,** I might have been killed.",,If I had seen the car coming,When I hadn’t seen the car coming,Since I hadn’t seen the car coming,No improvement,,D,Moderate
Q029,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: The dictator **declared** an emergency in the country.,,proposed,decreed,ordered,No improvement,,D,Moderate
Q030,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: James **had been teaching** at the university since June.,,has been teaching,have been teaching,is teaching,No improvement,,A,Moderate
Q031,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: The manager’s role is to **define and resolve** problems.,,identify and resolved,defined and resolved,spot and resolved,No improvement,,D,Moderate
Q032,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: We kept all the old paintings in a place where they **would remain safe** from harm or danger.,,will remain safe,are safe,may remain safe,No improvement,,D,Moderate
Q033,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: **They left the hotel by car where they had been staying.**,,They left the hotel where they had been staying by car.,They left where they were staying in a hotel by car.,In a car they left where they were staying in a hotel,No improvement,,A,Moderate
Q034,VARC,GRAMMAR,Active/Passive Voice,Change the voice: The waiter filled the glasses with water.,,The glasses filled with water the waiter,The glasses were filled with water by the waiter,The waiter was filled the glasses with water,The water were filled on the glasses by waiter,,B,Difficult
Q035,VARC,GRAMMAR,Active/Passive Voice,Change the voice: She took the dog for a walk.,,The dog was taken for a walk by her,The dog took her for a walk,The dog was took for a walk,The dog took a walk by her,,A,Difficult
Q036,VARC,GRAMMAR,Active/Passive Voice,Change the voice: He was driving the car so fast that it skidded on the snowy road.,,The car was driven by him so fast that it skidded...,The car was being driven by him so fast that it skidded...,The car had been driven by him so fast that it skidded...,The car has been driven by him so fast that it skidded...,,B,Difficult
Q037,VARC,GRAMMAR,Active/Passive Voice,Change the voice: They will laugh at you.,,You can be laughed at by them,You may be laughed at by them,You will be laughed at by them,You will have been laughed at by them,,C,Difficult
Q038,VARC,GRAMMAR,Active/Passive Voice,Change the voice: Then her face was bowed.,,Then she was being bowed her face,Her face was bowed by then,Then she bowed her face,Then her face has been bowed,,C,Difficult
Q039,VARC,GRAMMAR,Error Spotting,Spot the error: He informed (A)/ for me(B)/ to the police.(C)/ No error.(D),,He informed,for me,to the police,No error,,B,Difficult
Q040,VARC,GRAMMAR,Error Spotting,Spot the error: It is wishful(A)/thinking that you can improve the situation(B)/ by doing with such people. (C)/No error. (D),,It is wishful,thinking that you can improve the situation,by doing with such people,No error,,C,Difficult
Q041,VARC,GRAMMAR,Error Spotting,Spot the error: He is(A)/now looking(B)/about a job.(C)/ No error. (D),,He is,now looking,about a job,No error,,C,Difficult
Q042,VARC,GRAMMAR,Error Spotting,Spot the error: Do not(A)/look left(B)/on women. (C)/ No error. (D),,Do not,look left,on women,No error,,B,Difficult
Q043,VARC,GRAMMAR,Error Spotting,Spot the error: It was I who was responsible of(A)/making all the arrangements for the(B)/ successful completion of his studies.(C)/No error. (D),,It was I who was responsible of,making all the arrangements for the,successful completion of his studies,No error,,A,Difficult
Q044,VARC,GRAMMAR,Sentence Improvement,"Improve the bold part: Goaded to frenzy, **the bull charged its tormentors.**",,the tormentors were charged by the bull,the tormentors were being charged by the bull,the bull charged on its tormentors,No improvement,,D,Difficult
Q045,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: This is the **late** edition of the Shakespearean play which was originally published in 1603.,,later,latest,latter,No improvement,,B,Difficult
Q046,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: Diamonds are **eternal.**,,enduring,forever,imperishable,No improvement,,C,Difficult
Q047,VARC,GRAMMAR,Sentence Improvement,Improve the bold part: Jatin's case against Jagat was **trivial.**,,insignificant,harmful,tolerable,No improvement,,A,Difficult
Q048,VARC,GRAMMAR,Sentence Improvement,Improve the sentence: My sister doesn't have as much jewellery my mother.,,My mother has jewellery but not more than my sister.,My sister has too much jewellery.,My mother has more jewellery than my sister.,No improvement,,C,Difficult
,,,,,,,,,,,,
Q049,VARC,FILL IN THE BLANKS,Vocabulary,The company let me _____time off work.,,take,taking,to take,took,,A,Very Easy
Q050,VARC,FILL IN THE BLANKS,Grammar,I assume _____with me.,,everyone agreeing,that everyone agrees,everyone to agree,that everyone to agree,,B,Very Easy
Q051,VARC,FILL IN THE BLANKS,Vocabulary,"_____the rain forests is very important, if we do not want the flora and fauna found there to become extinct.",,Reserving,Destroying,Preserving,Maintaining,,C,Very Easy
Q052,VARC,FILL IN THE BLANKS,Grammar,I haven't had _____opportunity to study during the day.,,very,many,much,more,,C,Very Easy
Q053,VARC,FILL IN THE BLANKS,Phrasal Verbs,When will you hand _____ your assignment?,,in,back,down,into,,A,Very Easy
Q054,VARC,FILL IN THE BLANKS,Prepositions,The resort is_____ the lake.,,from,has,besides,beside,,D,Very Easy
Q055,VARC,FILL IN THE BLANKS,Prepositions,The monitor takes care _____the class_____ the absence of the teacher.,,in; at,of; in,during; in,of; for,,B,Very Easy
Q056,VARC,FILL IN THE BLANKS,Prepositions,"When he saw the fish swimming _____the river, he was extremely happy.",,on,besides,in,at,,C,Very Easy
Q057,VARC,FILL IN THE BLANKS,Grammar,"The railway coaches_____ by the Integral Coach Factory, Chennai.",,is manufactured,are manufactured,are manufacture,is being manufactured,,B,Very Easy
Q058,VARC,FILL IN THE BLANKS,Vocabulary,The truck was _____ when the bus rammed into it.,,stationery,machinery,machinery,stationary,,D,Very Easy
Q059,VARC,FILL IN THE BLANKS,Grammar,The teacher let us_____.,,to go early,to leave early,go early,early to go,,C,Very Easy
Q060,VARC,FILL IN THE BLANKS,Prepositions,Jane is annoyed ______,,on me,with me,against me,over me,,B,Very Easy
Q061,VARC,FILL IN THE BLANKS,Prepositions,A big dictionary _____ the table near the door.,,are on,is over,is on,is up,,C,Easy
Q062,VARC,FILL IN THE BLANKS,Articles,_____Australian and_____ European are there among the tourists.,,"An, an","The, the","An, a","A, an",,C,Easy
Q063,VARC,FILL IN THE BLANKS,Vocabulary,I have been looking for an apartment and I finally found the _____one.,,good,airy,cheap,perfect,,D,Easy
